DNAME2014,DCODE2014,CNAME2014,CCODE2014,SNAME2014,SCODE2014,PNAME2014,PCODE2014,pname_2,%HhH(10-17,distances -Public Health facility,distances -Public Health facility Less than 5 Kms Percent,distances -Public Health facility 5 Kms or More Percent,distances - Private Health Facility,distances - Private Health Facility Less than 5 Kms Percent,distances - Private Health Facility 5 Kms or More Percent,Kitchen,No Kitchen Percent,Bathroom,Make shift Bathroom Percent,No bathroom Percent,Toilet Facility,No facility bush polythene bags bucket Percent,Water Scource,Public taps Percent,Distance - Public Primary school,Distance - Public Primary school Less than 5 Kms Percent,Distance - Public Primary school 5 Kms or More Percent,pname_1,Tenement (Muzigo) Percent,Floor,Floor Earth Percent,Floor Rammed earth Percent,Wall,Wall Mud and pole Percent,Parish,HH poverty
KAMPALA,0,KAMPALA CAPITAL CITY,0,MAKINDYE,0,NSAMBYA ESTATE,0,NSAMBYA ESTATE,0,NSAMBYA ESTATE,73.8,26.2,NSAMBYA ESTATE,96.9,3.1,NSAMBYA ESTATE,5.4,NSAMBYA ESTATE,0,0,NSAMBYA ESTATE,0,NSAMBYA ESTATE,4.6,NSAMBYA ESTATE,97.7,2.3,NSAMBYA ESTATE,3.1,NSAMBYA ESTATE,0,0,NSAMBYA ESTATE,0,NSAMBYA ESTATE,0.04
KAMPALA,0,KAMPALA CAPITAL CITY,0,MAKINDYE,0,NSAMBYA CENTRAL,0,NSAMBYA CENTRAL,0.6,NSAMBYA CENTRAL,72.4,27.6,NSAMBYA CENTRAL,92.2,7.8,NSAMBYA CENTRAL,55.7,NSAMBYA CENTRAL,2.9,0.7,NSAMBYA CENTRAL,*,NSAMBYA CENTRAL,47.7,NSAMBYA CENTRAL,90.5,9.5,NSAMBYA CENTRAL,67,NSAMBYA CENTRAL,4,1.7,NSAMBYA CENTRAL,1,NSAMBYA CENTRAL,0.64
KAMPALA,0,KAMPALA CAPITAL CITY,0,NAKAWA,0,NABISUNSA,0,NABISUNSA,0,NABISUNSA,40.6,59.4,NABISUNSA,100,0,NABISUNSA,20.8,NABISUNSA,4.7,8.5,NABISUNSA,0,NABISUNSA,49.1,NABISUNSA,100,0,NABISUNSA,18.9,NABISUNSA,13.2,2.8,NABISUNSA,0,NABISUNSA,0.76
KAMPALA,0,KAMPALA CAPITAL CITY,0,NAKAWA,0,MUTUNGO,0,MUTUNGO,0.4,MUTUNGO,90.2,9.8,MUTUNGO,94.8,5.2,MUTUNGO,37.8,MUTUNGO,1.5,0.7,MUTUNGO,0.2,MUTUNGO,35,MUTUNGO,91.7,8.3,MUTUNGO,52.9,MUTUNGO,2.4,1.5,MUTUNGO,2.4,MUTUNGO,0.37
KAMPALA,0,KAMPALA CAPITAL CITY,0,NAKAWA,0,NAGURU II,0,NAGURU II,0.4,NAGURU II,96.8,3.2,NAGURU II,94.5,5.5,NAGURU II,32.8,NAGURU II,3.4,1.3,NAGURU II,0.2,NAGURU II,49.4,NAGURU II,97.9,2.1,NAGURU II,51.8,NAGURU II,4.9,3.4,NAGURU II,9.5,NAGURU II,1.79
KAMPALA,0,KAMPALA CAPITAL CITY,0,NAKAWA,0,NAGURU I,0,NAGURU I,0.2,NAGURU I,95.6,4.4,NAGURU I,92.3,7.7,NAGURU I,0.6,NAGURU I,28.2,0.2,NAGURU I,0.1,NAGURU I,64.8,NAGURU I,92.6,7.4,NAGURU I,3.2,NAGURU I,2.3,4.1,NAGURU I,13.8,NAGURU I,11.83
KAMPALA,0,KAMPALA CAPITAL CITY,0,NAKAWA,0,NAKAWA INSTITUTE,0,NAKAWA INSTITUTE,0,NAKAWA INSTITUTE,100,0,NAKAWA INSTITUTE,88.1,11.9,NAKAWA INSTITUTE,4.8,NAKAWA INSTITUTE,0,2.4,NAKAWA INSTITUTE,0,NAKAWA INSTITUTE,23.8,NAKAWA INSTITUTE,90.5,9.5,NAKAWA INSTITUTE,9.5,NAKAWA INSTITUTE,4.8,2.4,NAKAWA INSTITUTE,0,NAKAWA INSTITUTION,1.36
KAMPALA,0,KAMPALA CAPITAL CITY,0,NAKAWA,0,NAKAWA,0,NAKAWA,0.3,NAKAWA,99.6,0.4,NAKAWA,99.7,0.3,NAKAWA,63.5,NAKAWA,0.9,0.6,NAKAWA,0,NAKAWA,0,NAKAWA,99.7,0.3,NAKAWA,62.8,NAKAWA,1.6,2,NAKAWA,1.3,NAKAWA,1.49
KAMPALA,0,KAMPALA CAPITAL CITY,0,NAKAWA,0,UPK,0,UPK,0,UPK,80.3,19.7,UPK,94.2,5.8,UPK,27.7,UPK,4.6,1.2,UPK,0,UPK,20.2,UPK,99.4,0.6,UPK,19.1,UPK,16.8,11.6,UPK,24.9,UPK,3.48
KAMPALA,0,KAMPALA CAPITAL CITY,0,NAKAWA,0,NTINDA,0,NTINDA,0.3,NTINDA,77.8,22.2,NTINDA,95.4,4.6,NTINDA,17.6,NTINDA,1.4,0.2,NTINDA,0,NTINDA,10,NTINDA,98.7,1.3,NTINDA,20.4,NTINDA,0.7,0.9,NTINDA,0.3,NTINDA,0.11
KAMPALA,0,KAMPALA CAPITAL CITY,0,NAKAWA,0,KIWATULE,0,KIWATULE,0.4,KIWATULE,67.2,32.8,KIWATULE,93.5,6.5,KIWATULE,29.4,KIWATULE,1,0.2,KIWATULE,0,KIWATULE,23.4,KIWATULE,93.4,6.6,KIWATULE,33.8,KIWATULE,2.2,1.2,KIWATULE,0.5,KIWATULE,0.35
KAMPALA,0,KAMPALA CAPITAL CITY,0,NAKAWA,0,KISWA,0,KISWA,0.6,KISWA,99.5,0.5,KISWA,99.7,0.3,KISWA,29.8,KISWA,2.5,0.9,KISWA,0.1,KISWA,29.2,KISWA,99.6,0.4,KISWA,20.2,KISWA,3.7,1.4,KISWA,2.9,KISWA,0.79
KAMPALA,0,KAMPALA CAPITAL CITY,0,NAKAWA,0,KYANJA,0,KYANJA,0.4,KYANJA,62.4,37.6,KYANJA,87.8,12.2,KYANJA,30.2,KYANJA,1.5,0.5,KYANJA,0.1,KYANJA,24.8,KYANJA,86.7,13.3,KYANJA,40,KYANJA,2.6,1.6,KYANJA,0.5,KYANJA,0.31
KAMPALA,0,KAMPALA CAPITAL CITY,0,NAKAWA,0,KYAMBOGO,0,KYAMBOGO,0.3,KYAMBOGO,76.3,23.7,KYAMBOGO,93,7,KYAMBOGO,43.4,KYAMBOGO,3,0.2,KYAMBOGO,0.2,KYAMBOGO,21.4,KYAMBOGO,94.6,5.4,KYAMBOGO,47.6,KYAMBOGO,0.3,0.3,KYAMBOGO,0,KYAMBOGO,0.11
KAMPALA,0,KAMPALA CAPITAL CITY,0,NAKAWA,0,LUZIRA PRISONS,0,LUZIRA PRISONS,0.3,LUZIRA PRISONS,97.9,2.1,LUZIRA PRISONS,98.3,1.7,LUZIRA PRISONS,0.2,LUZIRA PRISONS,7.2,1,LUZIRA PRISONS,0.1,LUZIRA PRISONS,58.9,LUZIRA PRISONS,99.7,0.3,LUZIRA PRISONS,11.7,LUZIRA PRISONS,0.7,0.5,LUZIRA PRISONS,1.1,LUZIRA PRISONS,11.98
KAMPALA,0,KAMPALA CAPITAL CITY,0,NAKAWA,0,LUZIRA,0,LUZIRA,0.4,LUZIRA,96.6,3.4,LUZIRA,97.9,2.1,LUZIRA,39.3,LUZIRA,2.1,4,LUZIRA,0.2,LUZIRA,50.7,LUZIRA,98.5,1.5,LUZIRA,55.3,LUZIRA,5.2,3.8,LUZIRA,6.8,LUZIRA,0.64
KAMPALA,0,KAMPALA CAPITAL CITY,0,NAKAWA,0,MBUYA II,0,MBUYA II,0.4,MBUYA II,94.5,5.5,MBUYA II,94.1,5.9,MBUYA II,37.4,MBUYA II,3.6,1.3,MBUYA II,0.1,MBUYA II,35.7,MBUYA II,92.2,7.8,MBUYA II,52.7,MBUYA II,3,1.3,MBUYA II,1.8,MBUYA II,0.67
KAMPALA,0,KAMPALA CAPITAL CITY,0,NAKAWA,0,MBUYA I,0,MBUYA I,0.6,MBUYA I,83.1,16.9,MBUYA I,96.1,3.9,MBUYA I,55.4,MBUYA I,3.1,1.6,MBUYA I,0.8,MBUYA I,39.4,MBUYA I,96.3,3.7,MBUYA I,71.2,MBUYA I,6.7,3.7,MBUYA I,3.7,MBUYA I,0.91
KAMPALA,0,KAMPALA CAPITAL CITY,0,RUBAGA,0,NANKULABYE I,0,NANKULABYE I,0.7,NANKULABYE I,96.8,3.2,NANKULABYE I,99.5,0.5,NANKULABYE I,57.2,NANKULABYE I,1.5,1.6,NANKULABYE I,0.1,NANKULABYE I,47.7,NANKULABYE I,99,1,NANKULABYE I,71.3,NANKULABYE I,3.5,1.7,NANKULABYE I,3.8,NANKULABYE,0.47
KAMPALA,0,KAMPALA CAPITAL CITY,0,RUBAGA,0,NAJJANANKUMBI II,0,NAJJANANKUMBI II,0.6,NAJJANANKUMBI II,75.8,24.2,NAJJANANKUMBI II,89.1,10.9,NAJJANANKUMBI II,37.4,NAJJANANKUMBI II,0.3,0.2,NAJJANANKUMBI II,0,NAJJANANKUMBI II,37.7,NAJJANANKUMBI II,78.6,21.4,NAJJANANKUMBI II,52.6,NAJJANANKUMBI II,0.3,0.9,NAJJANANKUMBI II,0.1,NAJJANANKUMBI II,0.35
KAMPALA,0,KAMPALA CAPITAL CITY,0,RUBAGA,0,NATEETE,0,NATEETE,0.8,NATEETE,57.2,42.8,NATEETE,92.4,7.6,NATEETE,50.3,NATEETE,1.1,1,NATEETE,0.1,NATEETE,40.9,NATEETE,92.6,7.4,NATEETE,54.6,NATEETE,2.8,1.1,NATEETE,0.5,NATEETE,0.39
KAMPALA,0,KAMPALA CAPITAL CITY,0,RUBAGA,0,NAMIREMBE,0,NAMIREMBE,0.7,NAMIREMBE,93.6,6.4,NAMIREMBE,98.2,1.8,NAMIREMBE,32.5,NAMIREMBE,0.9,0.4,NAMIREMBE,0.1,NAMIREMBE,31.1,NAMIREMBE,97.1,2.9,NAMIREMBE,49.7,NAMIREMBE,3.7,1.2,NAMIREMBE,2.4,NAMIREMBE,0.41
KAMPALA,0,KAMPALA CAPITAL CITY,0,RUBAGA,0,LUBAGA,0,LUBAGA,0.5,LUBAGA,70,30,LUBAGA,87.9,12.1,LUBAGA,41.3,LUBAGA,1.2,0.7,LUBAGA,0.1,LUBAGA,30.8,LUBAGA,85.1,14.9,LUBAGA,55.6,LUBAGA,0.8,1.4,LUBAGA,0.5,LUBAGA,0.38
KAMPALA,0,KAMPALA CAPITAL CITY,0,RUBAGA,0,NDEEBA,0,NDEEBA,0.5,NDEEBA,70.5,29.5,NDEEBA,86.9,13.1,NDEEBA,71.2,NDEEBA,2.7,1.1,NDEEBA,0.2,NDEEBA,63.1,NDEEBA,80.9,19.1,NDEEBA,63.6,NDEEBA,5,1.5,NDEEBA,0.8,NDEEBA,0.74
KAMPALA,0,KAMPALA CAPITAL CITY,0,CENTRAL,0,KOLOLO I,0,KOLOLO I,0,KOLOLO I,99.6,0.4,KOLOLO I,100,0,KOLOLO I,10.9,KOLOLO I,0.4,0,KOLOLO I,0,KOLOLO I,12.1,KOLOLO I,99.6,0.4,KOLOLO I,2.4,KOLOLO I,0,2,KOLOLO I,0,KOLOLO I,0.32
KAMPALA,0,KAMPALA CAPITAL CITY,0,MAKINDYE,0,SALAAMA,0,SALAAMA,0.3,SALAAMA,72.5,27.5,SALAAMA,66.6,33.4,SALAAMA,38.6,SALAAMA,1.7,0.6,SALAAMA,0.2,SALAAMA,25,SALAAMA,90.1,9.9,SALAAMA,52.1,SALAAMA,2.4,1,SALAAMA,0.5,SALAAMA,0.4
KAMPALA,0,KAMPALA CAPITAL CITY,0,RUBAGA,0,BUSEGA,0,BUSEGA,0.4,BUSEGA,52,48,BUSEGA,84.1,15.9,BUSEGA,44.9,BUSEGA,0.8,0.5,BUSEGA,0.1,BUSEGA,25.6,BUSEGA,90.1,9.9,BUSEGA,55.6,BUSEGA,2.2,1.1,BUSEGA,0.4,BUSEGA,0.38
KAMPALA,0,KAMPALA CAPITAL CITY,0,NAKAWA,0,UPPER ESTATE,0,UPPER ESTATE,0.3,UPPER ESTATE,31.9,68.1,UPPER ESTATE,72.7,27.3,UPPER ESTATE,19.6,UPPER ESTATE,2.6,0.5,UPPER ESTATE,0.2,UPPER ESTATE,18,UPPER ESTATE,78.7,21.3,UPPER ESTATE,27.8,UPPER ESTATE,7.7,2.2,UPPER ESTATE,0.3,UPPER ESTATE,0.32
KAMPALA,0,KAMPALA CAPITAL CITY,0,RUBAGA,0,KASUBI,0,KASUBI,0.6,KASUBI,94.6,5.4,KASUBI,95.9,4.1,KASUBI,56.6,KASUBI,0.8,0.7,KASUBI,0.1,KASUBI,39,KASUBI,95.6,4.4,KASUBI,69.3,KASUBI,1.9,0.9,KASUBI,0.8,KASUBI,0.42
KAMPALA,0,KAMPALA CAPITAL CITY,0,RUBAGA,0,KABOWA,0,KABOWA,0.4,KABOWA,93.4,6.6,KABOWA,96.8,3.2,KABOWA,53.2,KABOWA,0.8,0.9,KABOWA,0.2,KABOWA,38.8,KABOWA,94.2,5.8,KABOWA,58.2,KABOWA,1.2,0.8,KABOWA,0.1,KABOWA,0.44
KAMPALA,0,KAMPALA CAPITAL CITY,0,RUBAGA,0,LUNGUJJA,0,LUNGUJJA,0.5,LUNGUJJA,74.5,25.5,LUNGUJJA,92.9,7.1,LUNGUJJA,42,LUNGUJJA,1.1,0.5,LUNGUJJA,0.1,LUNGUJJA,26.2,LUNGUJJA,93.9,6.1,LUNGUJJA,56.6,LUNGUJJA,2.5,0.9,LUNGUJJA,0.7,LUNGUJJA,0.37
KAMPALA,0,KAMPALA CAPITAL CITY,0,RUBAGA,0,LUBYA,0,LUBYA,0.4,LUBYA,76,24,LUBYA,94.4,5.6,LUBYA,45.6,LUBYA,0.9,0.6,LUBYA,0.1,LUBYA,28.6,LUBYA,89.2,10.8,LUBYA,62.3,LUBYA,2.3,1.2,LUBYA,0.2,LUBYA,0.46
KAMPALA,0,KAMPALA CAPITAL CITY,0,RUBAGA,0,NAJJANANKUMBI I,0,NAJJANANKUMBI I,0.8,NAJJANANKUMBI I,66.5,33.5,NAJJANANKUMBI I,89.4,10.6,NAJJANANKUMBI I,44.3,NAJJANANKUMBI I,1,0.2,NAJJANANKUMBI I,*,NAJJANANKUMBI I,23.6,NAJJANANKUMBI I,72.3,27.7,NAJJANANKUMBI I,55.9,NAJJANANKUMBI I,0.5,0.6,NAJJANANKUMBI I,0.2,NAJJANANKUMBI I,0.26
KAMPALA,0,KAMPALA CAPITAL CITY,0,RUBAGA,0,MUTUNDWE,0,MUTUNDWE,0.4,MUTUNDWE,89.7,10.3,MUTUNDWE,91.1,8.9,MUTUNDWE,47.7,MUTUNDWE,1,0.5,MUTUNDWE,0.1,MUTUNDWE,33.3,MUTUNDWE,90.4,9.6,MUTUNDWE,60.3,MUTUNDWE,2.1,0.9,MUTUNDWE,0.3,MUTUNDWE,0.43
